Date,Country,Region,Region Code,lat,long,Region code,ISO Code,Map Region,Population,Area,Total Cases,Deaths,Recovered,Tests,Tested People,Active Cases,Hospitalized,Quarantined,Intensive Care,Other Hospitalized,Prev Total Cases,Previous Daily Cases,Daily Cases,Daily Deaths,Daily Recovered,Daily Tests,Daily Tested People,Daily Active Cases,Daily Hospitalized,Daily Quarantined,Daily Intensive Care,Daily Other Hospitalized,Weekly Cases,Weekly Deaths,Weekly Recovered,Weekly Tests,Weekly Tested People,Weekly Active Cases,Weekly Hospitalized,Weekly Quarantined,Weekly Intensive Care,Weekly Other Hospitalized,Last Update,note_it,note_en
2020-02-27,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,3,552,,0,0,0,0,0,3,0,0,0,0,428,,0,0,0,0,0,0,0,3,,,-3,,,-1,,2020-02-27 18:00:00,,
2020-02-27,ITA,Liguria,7,44.41149315,8.9326992,7,IT-42,Liguria,1550640,5416,19,0,0,78,,19,9,10,0,9,11,10,8,0,0,12,,8,3,5,0,3,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,403,14,40,3320,,349,213,136,41,172,258,18,145,5,40,112,,100,109,-9,16,93,402,14,40,,,348,,,40,,2020-02-27 18:00:00,,
2020-02-27,ITA,Marche,11,43.61675973,13.5188753,11,IT-57,Marche,1525271,9401,3,0,0,46,,3,3,0,1,2,1,1,2,0,0,18,,2,2,0,1,1,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Molise,14,41.55774754,14.65916051,14,IT-67,Molise,305617,4461,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Piemonte,1,45.0732745,7.680687483,1,IT-21,Piemonte,4356406,25387,2,0,0,156,,2,2,0,0,2,3,0,-1,0,0,0,,-1,0,-1,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Puglia,16,41.12559576,16.86736689,16,IT-75,Puglia,4029053,19541,1,0,0,0,,1,1,0,0,1,0,0,1,0,0,0,,1,1,0,0,1,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Sardegna,20,39.21531192,9.110616306,20,IT-88,Sardegna,1639591,24100,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Sicilia,19,38.11569725,13.362356699999998,19,IT-82,Sicilia,4999891,25832,4,0,2,5,,2,1,1,0,1,3,0,1,0,2,0,,-1,0,-1,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Toscana,9,43.76923077,11.25588885,9,IT-52,Toscana,3729641,22987,2,0,0,410,,2,2,0,0,2,2,0,0,0,0,47,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,P.A. Trento,4,46.06893511,11.12123097,24,IT-32,Trentino-Alto Adige,541380,6207,0,0,0,32,,0,0,0,0,0,0,0,0,0,0,29,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Umbria,10,43.10675841,12.38824698,10,IT-55,Umbria,882015,8464,0,0,0,8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Valle d'Aosta,2,45.73750286,7.320149366,2,IT-23,Valle d'Aosta,125666,3261,0,0,0,9,,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-27,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,111,2,0,6164,,109,27,82,8,19,71,28,40,0,0,1264,,40,3,37,0,3,,,,,,,,,,,2020-02-27 18:00:00,,
2020-02-28,ITA,Abruzzo,13,42.35122196,13.39843823,13,IT-65,Abruzzo,1311580,10832,1,0,0,33,,1,1,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-28 18:00:00,,
2020-02-28,ITA,Basilicata,17,40.63947052,15.80514834,17,IT-77,Basilicata,562869,10073,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-28 18:00:00,,
2020-02-28,ITA,P.A. Bolzano,4,46.49933453,11.35662422,4,IT-32,Trentino-Alto Adige,533050,7400,1,0,0,2,,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-28 18:00:00,,
